               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.050748,            0.070101,            0.025896,             0.63677,              0.4797,             0.52451,              0.3329,            0.044844,            0.050324,            0.018003,            0.006667,            0.006667,            0.006667
                 103,            0.050722,            0.070379,            0.025884,             0.63505,             0.48219,             0.52506,             0.33333,             0.04484,            0.050311,            0.017995,            0.006634,            0.006634,            0.006634
                 104,            0.050665,            0.070514,            0.025806,             0.63114,             0.48413,             0.52546,             0.33354,            0.044838,            0.050302,            0.017995,            0.006601,            0.006601,            0.006601
                 105,            0.050547,            0.070407,            0.025784,             0.63327,             0.48293,             0.52547,             0.33362,            0.044833,            0.050299,            0.017986,            0.006568,            0.006568,            0.006568
                 106,            0.050591,            0.070188,            0.025785,             0.63602,             0.48272,             0.52541,              0.3338,            0.044827,            0.050301,            0.017985,            0.006535,            0.006535,            0.006535
                 107,            0.050586,            0.070515,            0.025677,             0.63713,             0.48322,             0.52602,             0.33401,             0.04482,            0.050297,            0.017985,            0.006502,            0.006502,            0.006502
                 108,            0.050544,            0.070292,              0.0257,             0.63599,              0.4822,             0.52641,             0.33431,            0.044809,            0.050289,            0.017977,            0.006469,            0.006469,            0.006469
                 109,            0.050544,            0.070316,            0.025719,             0.63564,             0.48318,             0.52689,             0.33428,              0.0448,            0.050287,            0.017975,            0.006436,            0.006436,            0.006436
                 110,            0.050488,            0.070134,            0.025661,             0.63468,             0.48362,             0.52731,             0.33484,            0.044792,            0.050276,            0.017958,            0.006403,            0.006403,            0.006403
                 111,            0.050519,            0.070356,            0.025629,             0.63417,             0.48381,             0.52755,             0.33554,            0.044778,            0.050272,            0.017937,             0.00637,             0.00637,             0.00637
                 112,            0.050411,            0.070187,             0.02555,             0.63654,             0.48305,             0.52802,             0.33553,            0.044766,            0.050251,            0.017927,            0.006337,            0.006337,            0.006337
                 113,             0.05048,            0.070288,            0.025663,             0.63753,             0.48429,             0.52798,             0.33594,            0.044757,            0.050242,            0.017905,            0.006304,            0.006304,            0.006304
                 114,            0.050432,            0.070301,            0.025516,             0.64175,             0.48246,             0.52805,              0.3362,            0.044747,            0.050231,            0.017881,            0.006271,            0.006271,            0.006271
                 115,            0.050428,              0.0704,             0.02554,             0.64377,             0.48236,             0.52846,             0.33632,            0.044743,            0.050229,            0.017853,            0.006238,            0.006238,            0.006238
                 116,            0.050494,            0.070209,            0.025537,             0.64618,             0.48207,             0.52834,             0.33624,            0.044742,            0.050229,             0.01783,            0.006205,            0.006205,            0.006205
                 117,            0.050403,            0.070034,            0.025454,              0.6471,             0.48174,             0.52845,             0.33645,            0.044731,            0.050227,            0.017807,            0.006172,            0.006172,            0.006172
                 118,            0.050439,            0.070422,            0.025445,             0.64448,             0.48325,             0.52887,             0.33688,            0.044717,            0.050223,             0.01779,            0.006139,            0.006139,            0.006139
                 119,            0.050428,            0.070239,            0.025392,             0.64633,             0.48212,             0.52951,             0.33778,            0.044705,            0.050211,            0.017777,            0.006106,            0.006106,            0.006106
